"","Strain_Type","Position","Name","Description","Species","Highest_Value","no_N","Value_minus_no_N","max_OD","growth","adjusted_value_col","derivative","max_derivative","Treatment","timepoints","maxOD_before","growth_before"
"74",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.0768,0.0742,0.00259999999999999,0.1366,1,0.0126,0.0434125852057494,0.108924523939869,Ammonium + C,26.7683333333333,0.2548,1
"75",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.1177,0.079,0.0387,0.1366,1,0.0487,0.0730581803973582,0.108924523939869,Ammonium + C,45.2738888888889,0.2548,1
"76",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.1434,0.079,0.0644,0.1366,1,0.0744,0.108924523939869,0.108924523939869,Ammonium + C,49.1644444444444,0.2548,1
"77",X17,A9,4G09,Alteromonadales,Pseudoalteromonas marina,0.2548,0.1182,0.1366,0.1366,1,0.1466,0.0101040178906823,0.108924523939869,Ammonium + C,116.291388888889,0.2548,1
"78",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.0748,0.0748,0,0.1372,1,0.01,NA,0.139367307123702,Ammonium + C,0,0.2485,1
"79",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.0724,0.0745,0,0.1372,1,0.01,0,0.139367307123702,Ammonium + C,2.80833333333333,0.2485,1
"80",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.0858,0.0904,0,0.1372,1,0.01,0,0.139367307123702,Ammonium + C,21.4447222222222,0.2485,1
"81",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.1058,0.0948,0.011,0.1372,1,0.021,0.139367307123702,0.139367307123702,Ammonium + C,26.7683333333333,0.2485,1
"82",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.2404,0.1032,0.1372,0.1372,1,0.1472,0.105226225860956,0.139367307123702,Ammonium + C,45.2738888888889,0.2485,1
"83",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.2386,0.1122,0.1264,0.1372,1,0.1364,-0.0195860102232965,0.139367307123702,Ammonium + C,49.1644444444444,0.2485,1
"84",X19,A10,5F06,Flavobacteriales,Maribacter dokdonensis,0.2485,0.2669,0,0.1372,1,0.01,-0.0389263458070535,0.139367307123702,Ammonium + C,116.291388888889,0.2485,1
"85",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.0734,0.0734,0,0.3833,1,0.01,NA,0.131260714521342,Ammonium + C,0,0.6494,1
"86",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.0759,0.0765,0,0.3833,1,0.01,0,0.131260714521342,Ammonium + C,2.80833333333333,0.6494,1
"87",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.0895,0.0818,0.0077,0.3833,1,0.0177,0.0306378853752165,0.131260714521342,Ammonium + C,21.4447222222222,0.6494,1
"88",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.1135,0.0879,0.0256,0.3833,1,0.0356,0.131260714521342,0.131260714521342,Ammonium + C,26.7683333333333,0.6494,1
"89",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.3842,0.1116,0.2726,0.3833,1,0.2826,0.111949453566689,0.131260714521342,Ammonium + C,45.2738888888889,0.6494,1
"90",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.5078,0.1245,0.3833,0.3833,1,0.3933,0.0849596425156657,0.131260714521342,Ammonium + C,49.1644444444444,0.6494,1
"91",X21,A11,5G01,Pseudomonadales,Neptunomonas phycophila,0.6494,0.3756,0.2738,0.3833,1,0.2838,-0.00486098268604906,0.131260714521342,Ammonium + C,116.291388888889,0.6494,1
"92",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.0699,0.0699,0,0.3912,1,0.01,NA,0.232950539569967,Ammonium + C,0,0.5548,1
"93",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.0721,0.0683,0.0038,0.3912,1,0.0138,0.114688486351019,0.232950539569967,Ammonium + C,2.80833333333333,0.5548,1
"94",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.1035,0.0782,0.0253,0.3912,1,0.0353,0.0503968004411014,0.232950539569967,Ammonium + C,21.4447222222222,0.5548,1
"95",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.1973,0.0853,0.112,0.3912,1,0.122,0.232950539569967,0.232950539569967,Ammonium + C,26.7683333333333,0.5548,1
"96",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.4911,0.1362,0.3549,0.3912,1,0.3649,0.0592039669071288,0.232950539569967,Ammonium + C,45.2738888888889,0.5548,1
"97",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.5538,0.1626,0.3912,0.3912,1,0.4012,0.0243761363360962,0.232950539569967,Ammonium + C,49.1644444444444,0.5548,1
"98",X23,A12,6B07,Flavobacteriales,Maribacter dokdonensis,0.5548,0.2681,0.2867,0.3912,1,0.2967,-0.0044950434030366,0.232950539569967,Ammonium + C,116.291388888889,0.5548,1
"99",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.0597,0.0597,0,0.5179,1,0.01,NA,0.146981480773119,Ammonium + C,0,0.6328,1
"100",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.0715,0.0711,0.000399999999999998,0.5179,1,0.0104,0.0139658325768359,0.146981480773119,Ammonium + C,2.80833333333333,0.6328,1
"101",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.2228,0.0835,0.1393,0.5179,1,0.1493,0.14295429840414,0.146981480773119,Ammonium + C,21.4447222222222,0.6328,1
"102",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.4038,0.0873,0.3165,0.5179,1,0.3265,0.146981480773119,0.146981480773119,Ammonium + C,26.7683333333333,0.6328,1
"103",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.6328,0.1149,0.5179,0.5179,1,0.5279,0.0259639285981253,0.146981480773119,Ammonium + C,45.2738888888889,0.6328,1
"104",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.6322,0.123,0.5092,0.5179,1,0.5192,-0.0042712939585096,0.146981480773119,Ammonium + C,49.1644444444444,0.6328,1
"105",X49,B1,6C01,Alteromonadales,Alteromonas stellipolaris,0.6302,0.2313,0.3989,0.5179,1,0.4089,-0.00355771501288778,0.146981480773119,Ammonium + C,116.291388888889,0.6328,1
"106",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.0703,0.0703,0,0.4101,1,0.01,NA,0.216927963302575,Ammonium + C,0,0.5621,1
"107",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.0695,0.0625,0.00700000000000001,0.4101,1,0.017,0.188947745185343,0.216927963302575,Ammonium + C,2.80833333333333,0.5621,1
"108",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.0812,0.0693,0.0119,0.4101,1,0.0219,0.0135902558310125,0.216927963302575,Ammonium + C,21.4447222222222,0.5621,1
"109",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.1385,0.079,0.0595,0.4101,1,0.0695,0.216927963302575,0.216927963302575,Ammonium + C,26.7683333333333,0.5621,1
"110",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.5074,0.1074,0.4,0.4101,1,0.41,0.0959079775691892,0.216927963302575,Ammonium + C,45.2738888888889,0.5621,1
"111",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.5251,0.115,0.4101,0.4101,1,0.4201,0.00625504972991141,0.216927963302575,Ammonium + C,49.1644444444444,0.5621,1
"112",X51,B2,6D03,Vibrionales,Vibrio penaeicida,0.5621,0.2717,0.2904,0.4101,1,0.3004,-0.00499617346001682,0.216927963302575,Ammonium + C,116.291388888889,0.5621,1
"113",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.0882,0.0882,0,0.3384,1,0.01,NA,0.290514664299402,Ammonium + C,0,0.649,1
"114",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.0653,0.0644,0.000899999999999998,0.3384,1,0.0109,0.0306864200264872,0.290514664299402,Ammonium + C,2.80833333333333,0.649,1
"115",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.1389,0.0747,0.0642,0.3384,1,0.0742,0.102917006742747,0.290514664299402,Ammonium + C,21.4447222222222,0.649,1
"116",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.4185,0.0801,0.3384,0.3384,1,0.3484,0.290514664299402,0.290514664299402,Ammonium + C,26.7683333333333,0.649,1
"117",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.6145,0.2828,0.3317,0.3384,1,0.3417,-0.00104931115409134,0.290514664299402,Ammonium + C,45.2738888888889,0.649,1
"118",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.649,0.3146,0.3344,0.3384,1,0.3444,0.00202300502330335,0.290514664299402,Ammonium + C,49.1644444444444,0.649,1
"119",X53,B3,6E01,Vibrionales,Vibrio penaeicida,0.571,0.3449,0.2261,0.3384,1,0.2361,-0.00562439317902478,0.290514664299402,Ammonium + C,116.291388888889,0.649,1
"120",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.0629,0.0629,0,0.305,1,0.01,NA,0.135032167669762,Ammonium + C,0,0.5492,1
"121",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.0641,0.0632,0.000899999999999998,0.305,1,0.0109,0.0306864200264872,0.135032167669762,Ammonium + C,2.80833333333333,0.5492,1
"122",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.195,0.07,0.125,0.305,1,0.135,0.135032167669762,0.135032167669762,Ammonium + C,21.4447222222222,0.5492,1
"123",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.3416,0.0784,0.2632,0.305,1,0.2732,0.132415635655076,0.135032167669762,Ammonium + C,26.7683333333333,0.5492,1
"124",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.5268,0.2306,0.2962,0.305,1,0.3062,0.00616216871655681,0.135032167669762,Ammonium + C,45.2738888888889,0.5492,1
"125",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.5492,0.2442,0.305,0.305,1,0.315,0.00728280452430239,0.135032167669762,Ammonium + C,49.1644444444444,0.5492,1
"126",X55,B4,6E02,Vibrionales,Vibrio splendidus,0.3283,0.2703,0.058,0.305,1,0.068,-0.0228382946123568,0.135032167669762,Ammonium + C,116.291388888889,0.5492,1
"127",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.0633,0.0633,0,0.2351,1,0.01,NA,0.155760855329115,Ammonium + C,0,0.6029,1
"128",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.0695,0.066,0.0035,0.2351,1,0.0135,0.106862169418518,0.155760855329115,Ammonium + C,2.80833333333333,0.6029,1
"129",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.1389,0.07,0.0689,0.2351,1,0.0789,0.0947335641541608,0.155760855329115,Ammonium + C,21.4447222222222,0.6029,1
"130",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.2525,0.0817,0.1708,0.2351,1,0.1808,0.155760855329115,0.155760855329115,Ammonium + C,26.7683333333333,0.6029,1
"131",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.3296,0.1977,0.1319,0.2351,1,0.1419,-0.0130916828227482,0.155760855329115,Ammonium + C,45.2738888888889,0.6029,1
"132",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.3386,0.2595,0.0791,0.2351,1,0.0891,-0.119613572674657,0.155760855329115,Ammonium + C,49.1644444444444,0.6029,1
"133",X57,B5,6E03,Vibrionales,Vibrio splendidus,0.6029,0.3678,0.2351,0.2351,1,0.2451,0.0150745272920143,0.155760855329115,Ammonium + C,116.291388888889,0.6029,1
"134",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.0614,0.0614,0,0.2308,1,0.01,NA,0.0847905709689967,Ammonium + C,0,0.3293,1
"135",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.061,0.0774,0,0.2308,1,0.01,0,0.0847905709689967,Ammonium + C,2.80833333333333,0.3293,1
"136",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.072,0.0816,0,0.2308,1,0.01,0,0.0847905709689967,Ammonium + C,21.4447222222222,0.3293,1
"137",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.0757,0.0888,0,0.2308,1,0.01,0,0.0847905709689967,Ammonium + C,26.7683333333333,0.3293,1
"138",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.1424,0.1089,0.0335,0.2308,1,0.0435,0.0794451072104793,0.0847905709689967,Ammonium + C,45.2738888888889,0.3293,1
"139",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.1604,0.1099,0.0505,0.2308,1,0.0605,0.0847905709689967,0.0847905709689967,Ammonium + C,49.1644444444444,0.3293,1
"140",X61,B7,A1M10,Flavobacteriales,Cellulophaga lytica,0.3293,0.0985,0.2308,0.2308,1,0.2408,0.020577777818281,0.0847905709689967,Ammonium + C,116.291388888889,0.3293,1
"141",X63,B8,A1R05,Alteromonadales,Paraglaciecola chathamensis,0.0665,0.0665,0,0.1038,1,0.01,NA,0.0362277390818948,Ammonium + C,0,0.1941,1
"142",X63,B8,A1R05,Alteromonadales,Paraglaciecola chathamensis,0.0645,0.0673,0,0.1038,1,0.01,0,0.0362277390818948,Ammonium + C,2.80833333333333,0.1941,1
"143",X63,B8,A1R05,Alteromonadales,Paraglaciecola chathamensis,0.0691,0.0726,0,0.1038,1,0.01,0,0.0362277390818948,Ammonium + C,21.4447222222222,0.1941,1
"144",X63,B8,A1R05,Alteromonadales,Paraglaciecola chathamensis,0.0735,0.0794,0,0.1038,1,0.01,0,0.0362277390818948,Ammonium + C,26.7683333333333,0.1941,1
"145",X63,B8,A1R05,Alteromonadales,Paraglaciecola chathamensis,0.0805,0.0816,0,0.1038,1,0.01,0,0.0362277390818948,Ammonium + C,45.2738888888889,0.1941,1
