"timepoints","Strain_Type","Value","Plate","Position","Name","Description","Species","y","Treatment","Highest_Value"
0,"X197",0.0679,"plate 1","E3","B3M02","Alteromonadales","Psychromonas sp003318165",0.0632,"Ammonium + C",NA
0,"X201",0.0656,"plate 1","E5","C3R12","Vibrionales","Vibrio sp000272145",0.0631,"Ammonium + C",NA
0,"X203",0.0615,"plate 1","E6","C3R14","Alteromonadales","Shewanella sp002873135",0.0608,"Ammonium + C",NA
0,"X205",0.07,"plate 1","E7","D2M19","Pseudomonadales",NA,0.0644,"Ammonium + C",NA
0,"X207",0.0608,"plate 1","E8","D2R05","Alteromonadales",NA,0.0601,"Ammonium + C",NA
0,"X209",0.0778,"plate 1","E9","C2R07_2","Rhodobacterales",NA,0.0742,"Ammonium + C",NA
0,"X211",0.0634,"plate 1","E10","D3M06","Pseudomonadales","Acinetobacter guillouiae",0.0649,"Ammonium + C",NA
0,"X213",0.0612,"plate 1","E11","D3M17","Flavobacteriales","Arenibacter palladensis",0.0619,"Ammonium + C",NA
0,"X215",0.0657,"plate 1","E12","AS88","Alteromonadales",NA,0.0573,"Ammonium + C",NA
0,"X241",0.0621,"plate 1","F1","D3R04","Alteromonadales","Shewanella sp002873135",0.0618,"Ammonium + C",NA
0,"X243",0.0631,"plate 1","F2","AS94","Flavobacteriales",NA,0.0604,"Ammonium + C",NA
0,"X245",0.0631,"plate 1","F3","D3R19","Flavobacteriales",NA,0.0602,"Ammonium + C",NA
0,"X249",0.0652,"plate 1","F5","E2M18","Vibrionales",NA,0.0592,"Ammonium + C",NA
0,"X251",0.063,"plate 1","F6","E2R12","Alteromonadales","Paraglaciecola chathamensis",0.0621,"Ammonium + C",NA
0,"X253",0.0593,"plate 1","F7","12B01","Vibrionales","Vibrio splendidus",0.0619,"Ammonium + C",NA
0,"X255",0.0707,"plate 1","F8","E3M02","Rhodobacterales",NA,0.0716,"Ammonium + C",NA
0,"X257",0.064,"plate 1","F9","YB2","Vibrionales","Vibrio coralliilyticus",0.0637,"Ammonium + C",NA
0,"X259",0.0662,"plate 1","F10","E3M18","Flavobacteriales",NA,0.0673,"Ammonium + C",NA
0,"X263",0.0621,"plate 1","F12","AS40","Flavobacteriales","Algibacter lectus",0.0627,"Ammonium + C",NA
0,"X289",0.0619,"plate 1","G1","B2R14_2","Flavobacteriales",NA,0.062,"Ammonium + C",NA
0,"X291",0.0617,"plate 1","G2","F1R01","Alteromonadales","Shewanella sp002873615",0.0604,"Ammonium + C",NA
0,"X293",0.0623,"plate 1","G3","F1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.0608,"Ammonium + C",NA
0,"X295",0.061,"plate 1","G4","F2M12","Alteromonadales","Alteromonas stellipolaris",0.0588,"Ammonium + C",NA
0,"X297",0.0585,"plate 1","G5","F2R02","Vibrionales","Vibrio splendidus",0.0608,"Ammonium + C",NA
0,"X299",0.0602,"plate 1","G6","F2R05","Vibrionales","Vibrio splendidus",0.0626,"Ammonium + C",NA
0,"X301",0.0692,"plate 1","G7","F2R13","Rhodobacterales","Shimia thalassica",0.0633,"Ammonium + C",NA
0,"X303",0.0647,"plate 1","G8","F3M04","Flavobacteriales","Zobellia uliginosa",0.0639,"Ammonium + C",NA
0,"X305",0.0632,"plate 1","G9","F3M06","Alteromonadales","Alteromonas stellipolaris",0.0657,"Ammonium + C",NA
0,"X307",0.0587,"plate 1","G10","F3M07","Alteromonadales",NA,0.0591,"Ammonium + C",NA
0,"X309",0.0691,"plate 1","G11","F3M13","Alteromonadales","Alteromonas stellipolaris",0.0624,"Ammonium + C",NA
0,"X311",0.0618,"plate 1","G12","G1M15","Vibrionales","Photobacterium sanguinicancri",0.0598,"Ammonium + C",NA
0,"X337",0.0645,"plate 1","H1","1A01_rep","Vibrionales","Vibrio lentus/splendidus",0.0592,"Ammonium + C",NA
0,"X339",0.0631,"plate 1","H2","G2R05","Flavobacteriales","Cellulophaga sp002813425",0.0613,"Ammonium + C",NA
0,"X341",0.0682,"plate 1","H3","G2R07","Flavobacteriales","Cellulophaga sp002813425",0.0641,"Ammonium + C",NA
0,"X343",0.0633,"plate 1","H4","G2R13","Rhodobacterales","Shimia thalassica",0.0634,"Ammonium + C",NA
0,"X345",0.0647,"plate 1","H5","G3M07","Alteromonadales",NA,0.0692,"Ammonium + C",NA
0,"X347",0.058,"plate 1","H6","G3M13","Alteromonadales","Alteromonas_B sp002729795",0.0706,"Ammonium + C",NA
0,"X349",0.0634,"plate 1","H7","I1M15","Pseudomonadales","Neptunomonas phycophila",0.0651,"Ammonium + C",NA
0,"X351",0.061,"plate 1","H8","I1R14","Alteromonadales","Pseudoalteromonas carrageenovora",0.0643,"Ammonium + C",NA
0,"X353",0.0621,"plate 1","H9","I2M14","Pseudomonadales",NA,0.0633,"Ammonium + C",NA
0,"X355",0.071,"plate 1","H10","I2M16","Pseudomonadales","Neptunomonas phycophila",0.0719,"Ammonium + C",NA
0,"X359",0.0607,"plate 1","H12","I2M19","Flavobacteriales",NA,0.0635,"Ammonium + C",NA
2.80833333333333,"X1",0.0746,"plate 1","A1","1A01","Vibrionales","Vibrio lentus/splendidus",0.07,"Ammonium + C",NA
2.80833333333333,"X3",0.079,"plate 1","A2","3B05","Pseudomonadales","Neptunomonas phycophila",0.072,"Ammonium + C",NA
2.80833333333333,"X5",0.0676,"plate 1","A3","3C02","Vibrionales","Vibrio splendidus",0.0636,"Ammonium + C",NA
2.80833333333333,"X7",0.0702,"plate 1","A4","3D04","Alteromonadales","Alteromonas stellipolaris",0.0655,"Ammonium + C",NA
2.80833333333333,"X9",0.068,"plate 1","A5","4B03","Alteromonadales","Alteromonas sp000597705",0.0586,"Ammonium + C",NA
2.80833333333333,"X11",0.0657,"plate 1","A6","4B04","Vibrionales","Vibrio splendidus",0.0593,"Ammonium + C",NA
2.80833333333333,"X13",0.0743,"plate 1","A7","4D01","Alteromonadales","Pseudoalteromonas marina",0.0588,"Ammonium + C",NA
2.80833333333333,"X15",0.0685,"plate 1","A8","4G03","Flavobacteriales","Tenacibaculum discolor",0.0584,"Ammonium + C",NA
2.80833333333333,"X17",0.0655,"plate 1","A9","4G09","Alteromonadales","Pseudoalteromonas marina",0.059,"Ammonium + C",NA
2.80833333333333,"X19",0.0715,"plate 1","A10","5F06","Flavobacteriales","Maribacter dokdonensis",0.0724,"Ammonium + C",NA
2.80833333333333,"X21",0.0759,"plate 1","A11","5G01","Pseudomonadales","Neptunomonas phycophila",0.064,"Ammonium + C",NA
2.80833333333333,"X23",0.0721,"plate 1","A12","6B07","Flavobacteriales","Maribacter dokdonensis",0.0627,"Ammonium + C",NA
2.80833333333333,"X49",0.0715,"plate 1","B1","6C01","Alteromonadales","Alteromonas stellipolaris",0.0672,"Ammonium + C",NA
2.80833333333333,"X51",0.0695,"plate 1","B2","6D03","Vibrionales","Vibrio penaeicida",0.062,"Ammonium + C",NA
2.80833333333333,"X53",0.0653,"plate 1","B3","6E01","Vibrionales","Vibrio penaeicida",0.0584,"Ammonium + C",NA
2.80833333333333,"X55",0.0641,"plate 1","B4","6E02","Vibrionales","Vibrio splendidus",0.0586,"Ammonium + C",NA
2.80833333333333,"X57",0.0665,"plate 1","B5","6E03","Vibrionales","Vibrio splendidus",0.0695,"Ammonium + C",NA
2.80833333333333,"X59",0.0626,"plate 1","B6","B3R02_2","Alteromonadales",NA,0.0592,"Ammonium + C",NA
2.80833333333333,"X61",0.0608,"plate 1","B7","A1M10","Flavobacteriales","Cellulophaga lytica",0.061,"Ammonium + C",NA
2.80833333333333,"X63",0.0642,"plate 1","B8","A1R05","Alteromonadales","Paraglaciecola chathamensis",0.0645,"Ammonium + C",NA
2.80833333333333,"X65",0.071,"plate 1","B9","A1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.072,"Ammonium + C",NA
2.80833333333333,"X67",0.0584,"plate 1","B10","A1R11","Alteromonadales","Pseudoalteromonas carrageenovora",0.061,"Ammonium + C",NA
2.80833333333333,"X69",0.0605,"plate 1","B11","A2M07","Flavobacteriales",NA,0.0598,"Ammonium + C",NA
2.80833333333333,"X71",0.0669,"plate 1","B12","A2R01","Pseudomonadales","Cobetia amphilecti",0.0675,"Ammonium + C",NA
2.80833333333333,"X97",0.0665,"plate 1","C1","A2R16","Pseudomonadales","Neptunomonas phycophila",0.0715,"Ammonium + C",NA
2.80833333333333,"X99",0.0632,"plate 1","C2","A2R20","Pseudomonadales",NA,0.0608,"Ammonium + C",NA
2.80833333333333,"X101",0.0598,"plate 1","C3","A3M03","Flavobacteriales","Zobellia galactanivorans",0.0608,"Ammonium + C",NA
2.80833333333333,"X103",0.062,"plate 1","C4","A3R06","Rhodobacterales","Epibacterium mobile",0.0621,"Ammonium + C",NA
2.80833333333333,"X105",0.0626,"plate 1","C5","B1M15","Flavobacteriales","Cobetia amphilecti",0.0582,"Ammonium + C",NA
2.80833333333333,"X107",0.0649,"plate 1","C6","B1R08","Pseudomonadales",NA,0.0598,"Ammonium + C",NA
2.80833333333333,"X109",0.0624,"plate 1","C7","B1R10","Alteromonadales","Cobetia marina",0.0594,"Ammonium + C",NA
2.80833333333333,"X111",0.064,"plate 1","C8","B1R15","Alteromonadales","Shewanella sp002873615",0.062,"Ammonium + C",NA
2.80833333333333,"X113",0.0671,"plate 1","C9","B2M13","Pseudomonadales","Shewanella sp002873615",0.0668,"Ammonium + C",NA
2.80833333333333,"X115",0.0604,"plate 1","C10","A3R12","Alteromonadales","Paraglaciecola chathamensis",0.0706,"Ammonium + C",NA
2.80833333333333,"X117",0.0636,"plate 1","C11","B2R09","Rhodobacterales","Roseovarius nubinhibens",0.0634,"Ammonium + C",NA
2.80833333333333,"X119",0.0601,"plate 1","C12","B3M03","Rhodobacterales",NA,0.0623,"Ammonium + C",NA
2.80833333333333,"X145",0.0706,"plate 1","D1","B3M08","Rhodobacterales",NA,0.0676,"Ammonium + C",NA
2.80833333333333,"X147",0.0629,"plate 1","D2","G2R10","Vibrionales","Vibrio splendidus",0.0645,"Ammonium + C",NA
2.80833333333333,"X149",0.0681,"plate 1","D3","B3R02","Alteromonadales",NA,0.0607,"Ammonium + C",NA
2.80833333333333,"X151",0.0648,"plate 1","D4","C2M01","Vibrionales",NA,0.062,"Ammonium + C",NA
2.80833333333333,"X153",0.0605,"plate 1","D5","C2M04","Alteromonadales","Agarivorans sp005405585",0.0621,"Ammonium + C",NA
2.80833333333333,"X155",0.0669,"plate 1","D6","C2R09","Rhodobacterales",NA,0.0618,"Ammonium + C",NA
2.80833333333333,"X157",0.0619,"plate 1","D7","C2R11","Alteromonadales","Shewanella sp002873135",0.1866,"Ammonium + C",NA
2.80833333333333,"X159",0.061,"plate 1","D8","C2R13","Pseudomonadales","Cobetia amphilecti",0.0656,"Ammonium + C",NA
2.80833333333333,"X161",0.06,"plate 1","D9","C2R21","Alteromonadales","Pseudoalteromonas carrageenovora",0.0615,"Ammonium + C",NA
2.80833333333333,"X163",0.0621,"plate 1","D10","C3M06","Rhodobacterales",NA,0.0605,"Ammonium + C",NA
2.80833333333333,"X165",0.0601,"plate 1","D11","C3M08","Alteromonadales","Pseudoalteromonas carrageenovora",0.0636,"Ammonium + C",NA
2.80833333333333,"X167",0.0585,"plate 1","D12","C3M10","Alteromonadales","Pseudoalteromonas carrageenovora",0.0594,"Ammonium + C",NA
2.80833333333333,"X193",0.0645,"plate 1","E1","C3M11","Flavobacteriales",NA,0.0596,"Ammonium + C",NA
2.80833333333333,"X197",0.0626,"plate 1","E3","B3M02","Alteromonadales","Psychromonas sp003318165",0.0574,"Ammonium + C",NA
2.80833333333333,"X201",0.0598,"plate 1","E5","C3R12","Vibrionales","Vibrio sp000272145",0.0604,"Ammonium + C",NA
2.80833333333333,"X203",0.0827,"plate 1","E6","C3R14","Alteromonadales","Shewanella sp002873135",0.0606,"Ammonium + C",NA
2.80833333333333,"X205",0.0642,"plate 1","E7","D2M19","Pseudomonadales",NA,0.0633,"Ammonium + C",NA
2.80833333333333,"X207",0.0573,"plate 1","E8","D2R05","Alteromonadales",NA,0.0588,"Ammonium + C",NA
2.80833333333333,"X209",0.0675,"plate 1","E9","C2R07_2","Rhodobacterales",NA,0.0666,"Ammonium + C",NA
2.80833333333333,"X211",0.0566,"plate 1","E10","D3M06","Pseudomonadales","Acinetobacter guillouiae",0.0595,"Ammonium + C",NA
2.80833333333333,"X213",0.0574,"plate 1","E11","D3M17","Flavobacteriales","Arenibacter palladensis",0.0587,"Ammonium + C",NA
2.80833333333333,"X215",0.0604,"plate 1","E12","AS88","Alteromonadales",NA,0.064,"Ammonium + C",NA
2.80833333333333,"X241",0.0621,"plate 1","F1","D3R04","Alteromonadales","Shewanella sp002873135",0.0616,"Ammonium + C",NA
2.80833333333333,"X243",0.0628,"plate 1","F2","AS94","Flavobacteriales",NA,0.0575,"Ammonium + C",NA
2.80833333333333,"X245",0.0584,"plate 1","F3","D3R19","Flavobacteriales",NA,0.0669,"Ammonium + C",NA
2.80833333333333,"X249",0.0583,"plate 1","F5","E2M18","Vibrionales",NA,0.0558,"Ammonium + C",NA
2.80833333333333,"X251",0.0612,"plate 1","F6","E2R12","Alteromonadales","Paraglaciecola chathamensis",0.0597,"Ammonium + C",NA
2.80833333333333,"X253",0.0589,"plate 1","F7","12B01","Vibrionales","Vibrio splendidus",0.0601,"Ammonium + C",NA
2.80833333333333,"X255",0.0624,"plate 1","F8","E3M02","Rhodobacterales",NA,0.0681,"Ammonium + C",NA
2.80833333333333,"X257",0.0603,"plate 1","F9","YB2","Vibrionales","Vibrio coralliilyticus",0.0607,"Ammonium + C",NA
2.80833333333333,"X259",0.0596,"plate 1","F10","E3M18","Flavobacteriales",NA,0.0579,"Ammonium + C",NA
2.80833333333333,"X263",0.0584,"plate 1","F12","AS40","Flavobacteriales","Algibacter lectus",0.0626,"Ammonium + C",NA
2.80833333333333,"X289",0.0569,"plate 1","G1","B2R14_2","Flavobacteriales",NA,0.059,"Ammonium + C",NA
2.80833333333333,"X291",0.0568,"plate 1","G2","F1R01","Alteromonadales","Shewanella sp002873615",0.0572,"Ammonium + C",NA
2.80833333333333,"X293",0.0574,"plate 1","G3","F1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.0588,"Ammonium + C",NA
2.80833333333333,"X295",0.0567,"plate 1","G4","F2M12","Alteromonadales","Alteromonas stellipolaris",0.0585,"Ammonium + C",NA
2.80833333333333,"X297",0.0567,"plate 1","G5","F2R02","Vibrionales","Vibrio splendidus",0.058,"Ammonium + C",NA
2.80833333333333,"X299",0.0572,"plate 1","G6","F2R05","Vibrionales","Vibrio splendidus",0.0593,"Ammonium + C",NA
2.80833333333333,"X301",0.061,"plate 1","G7","F2R13","Rhodobacterales","Shimia thalassica",0.0602,"Ammonium + C",NA
2.80833333333333,"X303",0.0604,"plate 1","G8","F3M04","Flavobacteriales","Zobellia uliginosa",0.0628,"Ammonium + C",NA
2.80833333333333,"X305",0.0615,"plate 1","G9","F3M06","Alteromonadales","Alteromonas stellipolaris",0.0646,"Ammonium + C",NA
2.80833333333333,"X307",0.0574,"plate 1","G10","F3M07","Alteromonadales",NA,0.0593,"Ammonium + C",NA
2.80833333333333,"X309",0.0656,"plate 1","G11","F3M13","Alteromonadales","Alteromonas stellipolaris",0.0688,"Ammonium + C",NA
2.80833333333333,"X311",0.0584,"plate 1","G12","G1M15","Vibrionales","Photobacterium sanguinicancri",0.0589,"Ammonium + C",NA
2.80833333333333,"X337",0.0567,"plate 1","H1","1A01_rep","Vibrionales","Vibrio lentus/splendidus",0.0591,"Ammonium + C",NA
2.80833333333333,"X339",0.0587,"plate 1","H2","G2R05","Flavobacteriales","Cellulophaga sp002813425",0.0592,"Ammonium + C",NA
2.80833333333333,"X341",0.0611,"plate 1","H3","G2R07","Flavobacteriales","Cellulophaga sp002813425",0.0605,"Ammonium + C",NA
2.80833333333333,"X343",0.058,"plate 1","H4","G2R13","Rhodobacterales","Shimia thalassica",0.0592,"Ammonium + C",NA
2.80833333333333,"X345",0.0652,"plate 1","H5","G3M07","Alteromonadales",NA,0.0609,"Ammonium + C",NA
2.80833333333333,"X347",0.0622,"plate 1","H6","G3M13","Alteromonadales","Alteromonas_B sp002729795",0.0642,"Ammonium + C",NA
2.80833333333333,"X349",0.06,"plate 1","H7","I1M15","Pseudomonadales","Neptunomonas phycophila",0.0644,"Ammonium + C",NA
2.80833333333333,"X351",0.0612,"plate 1","H8","I1R14","Alteromonadales","Pseudoalteromonas carrageenovora",0.0592,"Ammonium + C",NA
2.80833333333333,"X353",0.0572,"plate 1","H9","I2M14","Pseudomonadales",NA,0.0581,"Ammonium + C",NA
2.80833333333333,"X355",0.0606,"plate 1","H10","I2M16","Pseudomonadales","Neptunomonas phycophila",0.059,"Ammonium + C",NA
2.80833333333333,"X359",0.0588,"plate 1","H12","I2M19","Flavobacteriales",NA,0.0588,"Ammonium + C",NA
21.4447222222222,"X1",0.1724,"plate 1","A1","1A01","Vibrionales","Vibrio lentus/splendidus",0.1617,"Ammonium + C",NA
21.4447222222222,"X3",0.1797,"plate 1","A2","3B05","Pseudomonadales","Neptunomonas phycophila",0.1509,"Ammonium + C",NA
21.4447222222222,"X5",0.0763,"plate 1","A3","3C02","Vibrionales","Vibrio splendidus",0.0737,"Ammonium + C",NA
21.4447222222222,"X7",0.2549,"plate 1","A4","3D04","Alteromonadales","Alteromonas stellipolaris",0.2273,"Ammonium + C",NA
21.4447222222222,"X9",0.0773,"plate 1","A5","4B03","Alteromonadales","Alteromonas sp000597705",0.0673,"Ammonium + C",NA
21.4447222222222,"X11",0.3163,"plate 1","A6","4B04","Vibrionales","Vibrio splendidus",0.3063,"Ammonium + C",NA
21.4447222222222,"X13",0.0833,"plate 1","A7","4D01","Alteromonadales","Pseudoalteromonas marina",0.0625,"Ammonium + C",NA
21.4447222222222,"X15",0.0713,"plate 1","A8","4G03","Flavobacteriales","Tenacibaculum discolor",0.0595,"Ammonium + C",NA
21.4447222222222,"X17",0.0724,"plate 1","A9","4G09","Alteromonadales","Pseudoalteromonas marina",0.0658,"Ammonium + C",NA
21.4447222222222,"X19",0.0858,"plate 1","A10","5F06","Flavobacteriales","Maribacter dokdonensis",0.0856,"Ammonium + C",NA
21.4447222222222,"X21",0.0895,"plate 1","A11","5G01","Pseudomonadales","Neptunomonas phycophila",0.0792,"Ammonium + C",NA
21.4447222222222,"X23",0.1035,"plate 1","A12","6B07","Flavobacteriales","Maribacter dokdonensis",0.0908,"Ammonium + C",NA
21.4447222222222,"X49",0.2228,"plate 1","B1","6C01","Alteromonadales","Alteromonas stellipolaris",0.1533,"Ammonium + C",NA
21.4447222222222,"X51",0.0812,"plate 1","B2","6D03","Vibrionales","Vibrio penaeicida",0.079,"Ammonium + C",NA
21.4447222222222,"X53",0.1389,"plate 1","B3","6E01","Vibrionales","Vibrio penaeicida",0.1235,"Ammonium + C",NA
21.4447222222222,"X55",0.195,"plate 1","B4","6E02","Vibrionales","Vibrio splendidus",0.1834,"Ammonium + C",NA
21.4447222222222,"X57",0.1389,"plate 1","B5","6E03","Vibrionales","Vibrio splendidus",0.1296,"Ammonium + C",NA
21.4447222222222,"X59",0.0696,"plate 1","B6","B3R02_2","Alteromonadales",NA,0.0674,"Ammonium + C",NA
21.4447222222222,"X61",0.0666,"plate 1","B7","A1M10","Flavobacteriales","Cellulophaga lytica",0.072,"Ammonium + C",NA
21.4447222222222,"X63",0.0679,"plate 1","B8","A1R05","Alteromonadales","Paraglaciecola chathamensis",0.0691,"Ammonium + C",NA
21.4447222222222,"X65",0.1322,"plate 1","B9","A1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.1247,"Ammonium + C",NA
21.4447222222222,"X67",0.1056,"plate 1","B10","A1R11","Alteromonadales","Pseudoalteromonas carrageenovora",0.1032,"Ammonium + C",NA
21.4447222222222,"X69",0.0653,"plate 1","B11","A2M07","Flavobacteriales",NA,0.0661,"Ammonium + C",NA
21.4447222222222,"X71",0.1528,"plate 1","B12","A2R01","Pseudomonadales","Cobetia amphilecti",0.129,"Ammonium + C",NA
21.4447222222222,"X97",0.19,"plate 1","C1","A2R16","Pseudomonadales","Neptunomonas phycophila",0.1271,"Ammonium + C",NA
21.4447222222222,"X99",0.068,"plate 1","C2","A2R20","Pseudomonadales",NA,0.0647,"Ammonium + C",NA
21.4447222222222,"X101",0.0635,"plate 1","C3","A3M03","Flavobacteriales","Zobellia galactanivorans",0.0625,"Ammonium + C",NA
21.4447222222222,"X103",0.0688,"plate 1","C4","A3R06","Rhodobacterales","Epibacterium mobile",0.0693,"Ammonium + C",NA
21.4447222222222,"X105",0.0662,"plate 1","C5","B1M15","Flavobacteriales","Cobetia amphilecti",0.0629,"Ammonium + C",NA
21.4447222222222,"X107",0.1603,"plate 1","C6","B1R08","Pseudomonadales",NA,0.1029,"Ammonium + C",NA
21.4447222222222,"X109",0.0706,"plate 1","C7","B1R10","Alteromonadales","Cobetia marina",0.0679,"Ammonium + C",NA
21.4447222222222,"X111",0.0766,"plate 1","C8","B1R15","Alteromonadales","Shewanella sp002873615",0.0769,"Ammonium + C",NA
21.4447222222222,"X113",0.1231,"plate 1","C9","B2M13","Pseudomonadales","Shewanella sp002873615",0.1239,"Ammonium + C",NA
21.4447222222222,"X115",0.0655,"plate 1","C10","A3R12","Alteromonadales","Paraglaciecola chathamensis",0.0762,"Ammonium + C",NA
21.4447222222222,"X117",0.0718,"plate 1","C11","B2R09","Rhodobacterales","Roseovarius nubinhibens",0.07,"Ammonium + C",NA
21.4447222222222,"X119",0.0657,"plate 1","C12","B3M03","Rhodobacterales",NA,0.0723,"Ammonium + C",NA
21.4447222222222,"X145",0.0764,"plate 1","D1","B3M08","Rhodobacterales",NA,0.0741,"Ammonium + C",NA
